medicinalproduct,activesubstancename,rancount,activesubstancecount,source
ZIOPTAN,TAFLUPROST,36.01,189,faers
TAPROS,TAFLUPROST,4.01,189,faers
TAFLUPROST,TAFLUPROST,18.01,189,faers
TAFLOTAN,TAFLUPROST,8.01,189,faers
SAFLUTAN,TAFLUPROST,20.01,189,faers
TENOX,TEMAZEPAM,6.009,3729,faers
TEMAZEPAM (UNKNOWN),TEMAZEPAM,9.009,3729,faers
TEMAZEPAM (TEMAZEPAM),TEMAZEPAM,13.009,3729,faers
TEMAZEPAM SANDOZ,TEMAZEPAM,1.009,3729,faers
TEMAZEPAM CAPSULES USP,TEMAZEPAM,15.009,3729,faers
TEMAZEPAM CAPSULES 30MG,TEMAZEPAM,1.009,3729,faers
TEMAZEPAM CAPSULES,TEMAZEPAM,5.009,3729,faers
TEMAZEPAM CAPSULE,TEMAZEPAM,2.009,3729,faers
TEMAZEPAM (AELLC),TEMAZEPAM,10.009,3729,faers
TEMAZEPAM 15 MG NOVEL 121 (WALMART),TEMAZEPAM,1.009,3729,faers
TEMAZEPAM.,TEMAZEPAM,46.009,3729,faers
TEMAZE,TEMAZEPAM,8.009,3729,faers
TEMADOR,TEMAZEPAM,4.009,3729,faers
TAMAZEPAM,TEMAZEPAM,7.009,3729,faers
RESTORIL,TEMAZEPAM,42.009,3729,faers
NORMISON /00393701/,TEMAZEPAM,1.009,3729,faers
NORMISON                           /00393701/,TEMAZEPAM,1.009,3729,faers
NORMISON,TEMAZEPAM,9.009,3729,faers
APO-TEMAZEPAM,TEMAZEPAM,2.009,3729,faers
ISAVUCONAZOLE,ISAVUCONAZOLE,10.013,23,faers
BLINDED ISAVUCONAZOLE,ISAVUCONAZOLE,1.013,23,faers
BAL8557,ISAVUCONAZOLE,1.013,23,faers
OXYBOLDINE                         /06334701/,"BOLDINE\SODIUM BICARBONATE\SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS\SODIUM SULFATE ANHYDROUS",1.09,1,faers
DR. SCHOLLS INGROWN TOENAIL PAIN RELIEVER,SODIUM SULFIDE,2.014,132,faers
DR. SCHOLL^S INGROWN TOENAIL PAIN RELIEVER,SODIUM SULFIDE,11.014,132,faers
POTASSIUM ASPARTATE,POTASSIUM ASPARTATE,16.019,177,faers
ASPARTATE POTASSIUM,POTASSIUM ASPARTATE,2.019,177,faers
ASPARA POTASSIUM,POTASSIUM ASPARTATE,37.019,177,faers
ASPARA K,POTASSIUM ASPARTATE,25.019,177,faers
METHYLPREDNISOLONE NOS,METHYLPREDNISOLONE OR METHYLPREDNISOLONE ACETATE,8.048,13,faers
LEVORPHANOL,LEVORPHANOL,4.011,5,faers
CALAMINE LOTION,CALAMINE LOTION,8.015,9,faers
ENOXAPARIN/ENOXAPARIN SODIUM,ENOXAPARIN\ENOXAPARIN SODIUM,2.028,3,faers
NECYRANE,RITIOMETAN,3.01,3,faers
