"medicinalproduct","activesubstancename"
"ZIOPTAN","TAFLUPROST"
"TAPROS","TAFLUPROST"
"TAFLUPROST","TAFLUPROST"
"TAFLOTAN","TAFLUPROST"
"SAFLUTAN","TAFLUPROST"
"TENOX","TEMAZEPAM"
"TEMAZEPAM (UNKNOWN)","TEMAZEPAM"
"TEMAZEPAM (TEMAZEPAM)","TEMAZEPAM"
"TEMAZEPAM SANDOZ","TEMAZEPAM"
"TEMAZEPAM CAPSULES USP","TEMAZEPAM"
"TEMAZEPAM CAPSULES 30MG","TEMAZEPAM"
"TEMAZEPAM CAPSULES","TEMAZEPAM"
"TEMAZEPAM CAPSULE","TEMAZEPAM"
"TEMAZEPAM (AELLC)","TEMAZEPAM"
"TEMAZEPAM 15 MG NOVEL 121 (WALMART)","TEMAZEPAM"
"TEMAZEPAM.","TEMAZEPAM"
"TEMAZE","TEMAZEPAM"
"TEMADOR","TEMAZEPAM"
"TAMAZEPAM","TEMAZEPAM"
"RESTORIL","TEMAZEPAM"
"NORMISON /00393701/","TEMAZEPAM"
"NORMISON                           /00393701/","TEMAZEPAM"
"NORMISON","TEMAZEPAM"
"APO-TEMAZEPAM","TEMAZEPAM"
"ISAVUCONAZOLE","ISAVUCONAZOLE"
"BLINDED ISAVUCONAZOLE","ISAVUCONAZOLE"
"BAL8557","ISAVUCONAZOLE"
"OXYBOLDINE                         /06334701/","BOLDINE\SODIUM BICARBONATE\SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS\SODIUM SULFATE ANHYDROUS"
"DR. SCHOLLS INGROWN TOENAIL PAIN RELIEVER","SODIUM SULFIDE"
"DR. SCHOLL^S INGROWN TOENAIL PAIN RELIEVER","SODIUM SULFIDE"
"POTASSIUM ASPARTATE","POTASSIUM ASPARTATE"
"ASPARTATE POTASSIUM","POTASSIUM ASPARTATE"
"ASPARA POTASSIUM","POTASSIUM ASPARTATE"
"ASPARA K","POTASSIUM ASPARTATE"
"METHYLPREDNISOLONE NOS","METHYLPREDNISOLONE OR METHYLPREDNISOLONE ACETATE"
"LEVORPHANOL","LEVORPHANOL"
"CALAMINE LOTION","CALAMINE LOTION"
"ENOXAPARIN/ENOXAPARIN SODIUM","ENOXAPARIN\ENOXAPARIN SODIUM"
"NECYRANE","RITIOMETAN"
"VITAMINS (MULTIPLE)/IRON","IRON\VITAMINS"
"MULTIVITAMIN WITH IRON","IRON\VITAMINS"
"MULTIVITAMINS WITH IRON","IRON\VITAMINS"
"MULTI VITAMIN / IRON","IRON\VITAMINS"
"IRON W/VITAMINS NOS","IRON\VITAMINS"
"THORAZINE","CHLORPROMAZINE"
"LARGACTIL - 25 MG COMPRESSE RIVESTITE CON FILM - TEOFARMA S.R.L.","CHLORPROMAZINE"
"LARGACTIL ^25 MG COMPRESSE RIVESTITE CON FILM^ 25 COMPRESSE - ( TEOFAR","CHLORPROMAZINE"
"LARGACTIL 25 MG","CHLORPROMAZINE"
"LARGACTIL /00011901/","CHLORPROMAZINE"
"LARGACTIL                          /00011901/","CHLORPROMAZINE"
"LARGACTIL","CHLORPROMAZINE"
"CONTOMIN","CHLORPROMAZINE"
"CLORPROMAZINE","CHLORPROMAZINE"
"CHLORPROMAZINE (NGX)","CHLORPROMAZINE"
"CHLORPROMAZINE HCL TABLETS USP","CHLORPROMAZINE"
"CHLORPROMAZINE (CHLORPROMAZINE)","CHLORPROMAZINE"
"CHLORPROMAZINE 25MG","CHLORPROMAZINE"
"CHLORPROMAZINE 200MG UPSHIRE SMITH","CHLORPROMAZINE"
"CHLORPROMAZINE 100MG UPSHIRE SMITH","CHLORPROMAZINE"
"CHLORPROMAZINE.","CHLORPROMAZINE"
"CHLORPROMAZINE","CHLORPROMAZINE"
"PRIMROSE EXTRACT.","PRIMROSE EXTRACT"
"BELLADONNA EXTRACT W/PHENOBARBITONE","BELLADONNA LEAF\PHENOBARBITAL"
"BELLADENAL","BELLADONNA LEAF\PHENOBARBITAL"
"PIVAMPICILLIN","PIVAMPICILLIN"
"EFFERVESCENT ANTACID + PAIN RELIEF ASPIRIN 325MG. SODIUM BICARBONATE 1916MG EQUATE","ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE"
"ALKA-SELTZER XTRA STRENGTH","ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE"
"ALKA-SELTZER ORIGINAL","ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE"
"ALKA-SELTZER LEMON LIME","ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE"
"ALKA SELTZER","ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE"
"ZINC PICOLINATE","ZINC PICOLINATE"
"ACETYLSALICYLATE SODIUM","ASPIRIN SODIUM"
"CLENBUTEROL","CLENBUTEROL"
"PSYLIA","PLANTAGO AFRA SEED"
"POTASSIUM GLUCONATE (POTASSIUM GLUCONATE) UNKNOWN","POTASSIUM GLUCONATE"
"POTASSIUM GLUCONATE","POTASSIUM GLUCONATE"
"K GLUCONATE","POTASSIUM GLUCONATE"
"TALCID BAYER","HYDROTALCITE"
"TALCID","HYDROTALCITE"
"HYDROTALCITE","HYDROTALCITE"
"HESPERIDIN","HESPERIDIN"
"DIOSMINE","HESPERIDIN"
"MOMELOTINIB","MOMELOTINIB"
"GAMMA-BUTYROLACTONE","BUTYROLACTONE"
"REGELAN//METOCLOPRAMIDE","METOCLOPRAMIDE"
"PMS-METOCLOPRAMIDE","METOCLOPRAMIDE"
"PLASIL (METOCLOPRAMIDE)","METOCLOPRAMIDE"
"PLASIL /00041901/","METOCLOPRAMIDE"
"PLASIL                             /00041901/","METOCLOPRAMIDE"
"PERAPRIN","METOCLOPRAMIDE"
"METOCLOPROMIDE 10","METOCLOPRAMIDE"
"METOCLOPROMIDE","METOCLOPRAMIDE"
"METOCLOPRAMID (NON-SPECIFIC)","METOCLOPRAMIDE"
"METOCLOPRAMIDE (UNKNOWN)","METOCLOPRAMIDE"
"METOCLOPRAMIDE TABLET 10MG","METOCLOPRAMIDE"
"METOCLOPRAMIDE SANDOZ","METOCLOPRAMIDE"
"METOCLOPRAMIDE RENAUDIN","METOCLOPRAMIDE"
"METOCLOPRAMIDE (NON-SPECIFIC)","METOCLOPRAMIDE"
"METOCLOPRAMIDE MYLAN 10 MG, COMPRIM? S?CABLE","METOCLOPRAMIDE"
"METOCLOPRAMIDE (METOCLOPRAMIDE) UNKNOWN","METOCLOPRAMIDE"
"METOCLOPRAMIDE (METOCLOPRAMIDE) INJECTION, 5MG/ML","METOCLOPRAMIDE"
"METOCLOPRAMIDE(METOCLOPRAMIDE)","METOCLOPRAMIDE"
"METOCLOPRAMIDE (METOCLOPRAMIDE)","METOCLOPRAMIDE"
"METOCLOPRAMIDE (MANUFACTURER UNKNOWN)","METOCLOPRAMIDE"
"METOCLOPRAMIDE INJECTION, USP, 5MG/ML FLIPTOP VIAL (METOCLOPRAMIDE)","METOCLOPRAMIDE"
"METOCLOPRAMIDE 5 MG/ML PHARMACEUTICAL ASSOCIATES, INC.","METOCLOPRAMIDE"
"METOCLOPRAMIDE 10 MG","METOCLOPRAMIDE"
"METOCLOPRAMIDE.","METOCLOPRAMIDE"
"METOCLOPRAMID","METOCLOPRAMIDE"
"METOCLOPRAM","METOCLOPRAMIDE"
"METACLOPRAMIDE","METOCLOPRAMIDE"
"MCP-TROPFEN","METOCLOPRAMIDE"
"MCP TROPFEN","METOCLOPRAMIDE"
"MCP-RATIOPHARM 10 MG ZAEPFCHEN","METOCLOPRAMIDE"
"MCP-RATIOPHARM 10 MG TABLETTEN","METOCLOPRAMIDE"
"MCP-CT","METOCLOPRAMIDE"
"ELIETEN /00041901/","METOCLOPRAMIDE"
"ELIETEN","METOCLOPRAMIDE"
"CLOPRAM METOCLOPRAMIDE","METOCLOPRAMIDE"
"CLOPAMON","METOCLOPRAMIDE"
"APO-METOCLOPRAMIDE","METOCLOPRAMIDE"
"STER-DEX","DEXAMETHASONE\OXYTETRACYCLINE"
"STERDEX","DEXAMETHASONE\OXYTETRACYCLINE"
"DEXTROSE IN RINGERS","CALCIUM CHLORIDE\DEXTROSE\POTASSIUM CHLORIDE\SODIUM CHLORIDE"
"IFOSFAMIDE W/MESNA","IFOSFAMIDE\MESNA"
"IFOSFAMIDE WITH MESNA","IFOSFAMIDE\MESNA"
"IFOSFAMIDE/MESNA","IFOSFAMIDE\MESNA"
"IFOSFAMIDE AND MESNA","IFOSFAMIDE\MESNA"
"HOLOXAN-UROMITEXAN","IFOSFAMIDE\MESNA"
"COPPERTONE TANNING DRY OIL SPF 10","HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE"
"COPPERTONE DRY SPF 10","HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE"
"AVEENO ACTIVE NATURALS POSITIVELY RADIANT TINTED MOISTURIZER SPF 30 FAIR/LIGHT","HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE"
"AVEENO ACTIVE NATURALS CLEAR COMPLEXION BB SUNSCREEN BROAD SPECTRUM SPF30","HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE"
"OCTINOXATE AND MERADIMATE AND TITANIUM DIOXIDE","MERADIMATE\OCTINOXATE\TITANIUM DIOXIDE"
"MONOFER","IRON ISOMALTOSIDE 1000"
"25C-NBOME (25C-NBOME) CAPSULE","4-CHLORO-2,5-DIMETHOXY-N-(2-METHOXYBENZYL)PHENETHYLAMINE"
"25C- NBOME","4-CHLORO-2,5-DIMETHOXY-N-(2-METHOXYBENZYL)PHENETHYLAMINE"
"DURASEAL","BOVINE TYPE I COLLAGEN"
"NAFTIFINE","NAFTIFINE"
"VOSPIRE ER","ALBUTEROL SULFATE"
"VOLMAX","ALBUTEROL SULFATE"
"VENTOLIN P.F.","ALBUTEROL SULFATE"
"VENTOLIN HFA","ALBUTEROL SULFATE"
"VENTOLIN EVOHALER 100MCG/INHALATION","ALBUTEROL SULFATE"
"VENTOLINE EVOHALER","ALBUTEROL SULFATE"
"VENTOLINE BABY HALER","ALBUTEROL SULFATE"
"VENTOLIN","ALBUTEROL SULFATE"
"VENTILASTIN","ALBUTEROL SULFATE"
"VENETLIN","ALBUTEROL SULFATE"
"SULTANOL","ALBUTEROL SULFATE"
"SALSOL","ALBUTEROL SULFATE"
"SALBUTAMOL SULPHATE INHALATIONAL POWDER","ALBUTEROL SULFATE"
"SALBUTAMOL SULPHATE","ALBUTEROL SULFATE"
"SALBUTAMOL SULFATE","ALBUTEROL SULFATE"
"SALBUTAMOCICLESONIDE","ALBUTEROL SULFATE"
"SALBUMOL FORT","ALBUTEROL SULFATE"
"SALBUMOL","ALBUTEROL SULFATE"
"SALBULAIR","ALBUTEROL SULFATE"
"RATIO-SALBUTAMOL HFA","ALBUTEROL SULFATE"
"PROVENTIL INHALATIONAL POWDER","ALBUTEROL SULFATE"
"PROVENTIL HFA","ALBUTEROL SULFATE"
"PROAIR RESPICLICK","ALBUTEROL SULFATE"
"PROAIR HFA","ALBUTEROL SULFATE"
"BLINDED SALBUTAMOL SULPHATE","ALBUTEROL SULFATE"
"ASMOL CFC FREE","ALBUTEROL SULFATE"
"ASMOL","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE TABLETS USP","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE SYRUP 2MG/5ML","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE SOLUTION FOR INHALATION","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE (SALBUTAMOL SULFATE)","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE (RITEDOSE)","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE NEBULISER SUSPENSION","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE NEBULISER SOLUTION","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE INHALATION SOLUTION, 0.5%","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE INHALATION SOLUTION 0.5%","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE INHALATION SOLUTION, 0.083%","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE INHALATION SOLUTION, 0.042%","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE INHALATION SOLUTION","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE INHALATIONAL POWDER","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE ER","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE (AMALLC)","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE 0.083% INHALATION SOLUTION","ALBUTEROL SULFATE"
"ALBUTEROL SULFATE.","ALBUTEROL SULFATE"
"ALBUTEROL NEBULIZER NEBULISER SOLUTION","ALBUTEROL SULFATE"
"ALBUTEROL NEBULISER SOLUTION","ALBUTEROL SULFATE"
"ALBUTEROL HFA","ALBUTEROL SULFATE"
"AIROMIR AUTOHALER 100 MICROGRAMS/DOSE","ALBUTEROL SULFATE"
"AIROMIR AUTOHALER 100 MCG/DOSE","ALBUTEROL SULFATE"
"AIROMIR AUTOHALER","ALBUTEROL SULFATE"
"AIROMIR","ALBUTEROL SULFATE"
"AEROLIN NEBULES","ALBUTEROL SULFATE"
"ACCUNEB","ALBUTEROL SULFATE"
"0.083% ALBUTEROL SULFATE INHALATION SOLUTION","ALBUTEROL SULFATE"
"ZELTREX","VALACYCLOVIR HYDROCHLORIDE"
"ZELIVIRE","VALACYCLOVIR HYDROCHLORIDE"
"ZELITREX (VALACICLOVIR HYDROCHLORIDE) (VALACICLOVIR HYDROCHLORIDE)","VALACYCLOVIR HYDROCHLORIDE"
"ZELITREX (UNKNOWN) (VALACICLOVIR HYDROCHLORIDE)","VALACYCLOVIR HYDROCHLORIDE"
"ZELITREX 500 MG","VALACYCLOVIR HYDROCHLORIDE"
"ZELITREX                           /01269701/","VALACYCLOVIR HYDROCHLORIDE"
